hero_id,winrate,pickrate,best_teammate,best_teammate_synergy,best_matchups,worst_counters
36,0.535,0.07,61,0.081,"[(106, -0.088), (89, -0.081), (67, -0.075), (93, -0.075), (12, -0.072)]","[(6, 0.153), (47, 0.117), (108, 0.108), (92, 0.105), (45, 0.098)]"
27,0.506,0.095,108,0.071,"[(69, -0.079), (1, -0.062), (70, -0.062), (121, -0.06), (90, -0.054)]","[(61, 0.157), (82, 0.115), (6, 0.113), (108, 0.111), (92, 0.105)]"
41,0.48,0.191,61,0.067,"[(90, -0.069), (63, -0.064), (58, -0.064), (65, -0.063), (76, -0.061)]","[(61, 0.155), (77, 0.101), (56, 0.1), (108, 0.096), (82, 0.083)]"
31,0.506,0.123,61,0.1,"[(94, -0.067), (72, -0.067), (121, -0.065), (114, -0.06), (69, -0.059)]","[(61, 0.14), (77, 0.107), (108, 0.093), (56, 0.093), (6, 0.091)]"
98,0.504,0.059,61,0.064,"[(12, -0.105), (23, -0.075), (90, -0.07), (89, -0.062), (72, -0.06)]","[(45, 0.107), (61, 0.095), (6, 0.089), (4, 0.086), (56, 0.077)]"
35,0.466,0.063,82,0.076,"[(94, -0.135), (72, -0.099), (13, -0.085), (76, -0.084), (121, -0.077)]","[(61, 0.206), (56, 0.104), (77, 0.094), (82, 0.076), (113, 0.075)]"
103,0.487,0.021,77,0.207,"[(12, -0.091), (121, -0.09), (58, -0.089), (82, -0.087), (23, -0.075)]","[(61, 0.112), (6, 0.081), (56, 0.078), (108, 0.074), (45, 0.073)]"
16,0.489,0.076,61,0.074,"[(12, -0.102), (72, -0.084), (76, -0.075), (58, -0.071), (69, -0.071)]","[(108, 0.111), (61, 0.102), (56, 0.102), (6, 0.095), (4, 0.071)]"
67,0.484,0.155,61,0.08,"[(53, -0.087), (121, -0.082), (72, -0.082), (70, -0.081), (76, -0.074)]","[(61, 0.163), (108, 0.152), (47, 0.095), (77, 0.095), (36, 0.094)]"
9,0.521,0.15,108,0.066,"[(121, -0.073), (70, -0.062), (69, -0.061), (72, -0.061), (26, -0.053)]","[(61, 0.158), (108, 0.109), (77, 0.098), (82, 0.093), (56, 0.092)]"
14,0.483,0.246,108,0.067,"[(35, -0.068), (72, -0.065), (105, -0.065), (69, -0.064), (34, -0.061)]","[(61, 0.157), (77, 0.134), (92, 0.094), (56, 0.084), (108, 0.075)]"
40,0.536,0.08,56,0.076,"[(70, -0.099), (69, -0.081), (65, -0.078), (90, -0.075), (114, -0.075)]","[(61, 0.204), (59, 0.113), (6, 0.111), (108, 0.108), (56, 0.1)]"
97,0.49,0.135,108,0.083,"[(1, -0.079), (12, -0.07), (58, -0.063), (65, -0.057), (121, -0.057)]","[(59, 0.095), (108, 0.094), (56, 0.089), (6, 0.077), (4, 0.069)]"
10,0.49,0.118,6,0.071,"[(106, -0.088), (35, -0.088), (58, -0.081), (90, -0.068), (44, -0.065)]","[(61, 0.17), (108, 0.088), (68, 0.085), (6, 0.08), (92, 0.075)]"
18,0.521,0.158,61,0.09,"[(12, -0.085), (72, -0.066), (13, -0.063), (121, -0.062), (90, -0.059)]","[(56, 0.111), (108, 0.093), (6, 0.09), (59, 0.09), (61, 0.078)]"
